Route , Signal_start , Signal_end , Direction , netElements , switch , platform , crossing
R_01 , S02 , S13 , >> , ne01-ne02 , Sw01_N ,  , 
R_02 , S02 , S14 , >> , ne01-ne03 , Sw01_R ,  , 
R_03 , S04 , S09 , << , ne04-ne02 , Sw02_N ,  , 
R_04 , S04 , S10 , << , ne04-ne03 , Sw02_R ,  , 
R_05 , S06 , S21 , >> , ne05-ne06 , Sw03_N ,  , 
R_06 , S06 , S22 , >> , ne05-ne07 , Sw03_R ,  , 
R_07 , S08 , S17 , << , ne08-ne06 , Sw04_N ,  , 
R_08 , S08 , S18 , << , ne08-ne07 , Sw04_R ,  , 
R_09 , S09 , S01 , << , ne02-ne01 , Sw01_N ,  , 
R_10 , S10 , S01 , << , ne03-ne01 , Sw01_R ,  , 
R_11 , S13 , S03 , >> , ne02-ne04 , Sw02_N ,  , 
R_12 , S14 , S03 , >> , ne03-ne04 , Sw02_R ,  , 
R_13 , S17 , S05 , << , ne06-ne05 , Sw03_N ,  , 
R_14 , S18 , S05 , << , ne07-ne05 , Sw03_R ,  , 
R_15 , S21 , S07 , >> , ne06-ne08 , Sw04_N ,  , 
R_16 , S22 , S07 , >> , ne07-ne08 , Sw04_R ,  , 
