Route , Signal_start , Signal_end , Direction , netElements , switch , platform , crossing
R_01 , S08 , S37 , << , ne41-ne41 ,  ,  , 
R_02 , S22 , S27 , >> , ne1-ne3 , Sw01_N ,  , 
R_03 , S22 , S19 , >> , ne1-ne7 , Sw01_R-Sw03_N ,  , 
R_04 , S22 , S03 , >> , ne1-ne6 , Sw01_R-Sw03_R ,  , 
R_05 , S25 , S21 , << , ne5-ne3 , Sw02_N ,  , 
R_06 , S26 , S21 , << , ne4-ne3 , Sw02_R ,  , 
R_07 , S27 , S33 , >> , ne3-ne5 , Sw02_N ,  , 
R_08 , S27 , S01 , >> , ne3-ne4 , Sw02_R ,  , 
R_09 , S31 , S25 , << , ne11-ne5 , Sw05_N ,  , 
R_10 , S32 , S25 , << , ne10-ne5 , Sw05_R ,  , 
R_11 , S33 , S05 , >> , ne5-ne10 , Sw05_R ,  , 
R_12 , S33 , S13 , >> , ne5-ne11 , Sw05_N ,  , 
R_13 , S36 , S09 , << , ne42-ne42 ,  ,  , 
R_14 , S37 , S29 , << , ne41-ne7 , Sw08_N ,  , 
R_15 , S37 , S36 , << , ne41-ne42 , Sw08_R ,  , 
