Route , Signal_start , Signal_end , Direction , netElements , switch , platform , crossing
R_01 , S02 , S42 , << , ne3-ne3 ,  ,  , 
R_02 , S04 , S25 , >> , ne40-ne40 ,  ,  , 
R_03 , S05 , S11 , >> , ne49-ne49 ,  ,  , 
R_04 , S06 , S24 , << , ne49-ne40 ,  ,  , 
R_05 , S07 , S13 , >> , ne50-ne50 ,  ,  , 
R_06 , S09 , S31 , >> , ne46-ne46 ,  ,  , 
R_07 , S10 , S24 , << , ne46-ne40 ,  ,  , 
R_08 , S11 , S17 , >> , ne49-ne3 ,  ,  , 
R_09 , S12 , S06 , << , ne49-ne49 ,  ,  , 
R_10 , S13 , S17 , >> , ne50-ne3 ,  ,  , 
R_11 , S14 , S46 , << , ne50-ne50 ,  ,  , 
R_12 , S16 , S10 , << , ne46-ne46 ,  ,  , 
R_13 , S21 , S01 , >> , ne3-ne3 ,  ,  , 
R_14 , S25 , S01 , >> , ne40-ne40 ,  ,  , 
R_15 , S26 , S03 , << , ne40-ne40 ,  ,  , 
R_16 , S31 , S17 , >> , ne46-ne3 ,  ,  , 
R_17 , S33 , S17 , >> , ne49-ne3 ,  ,  , 
R_18 , S36 , S09 , >> , ne40-ne46 ,  ,  , 
R_19 , S36 , S05 , >> , ne40-ne49 ,  ,  , 
R_20 , S36 , S07 , >> , ne40-ne50 ,  ,  , 
R_21 , S41 , S17 , >> , ne46-ne3 ,  ,  , 
R_22 , S42 , S16 , << , ne3-ne46 ,  ,  , 
R_23 , S42 , S12 , << , ne3-ne49 ,  ,  , 
R_24 , S42 , S14 , << , ne3-ne50 ,  ,  , 
R_25 , S46 , S24 , << , ne50-ne40 ,  ,  , 
