Route , Signal_start , Signal_end , Direction , netElements , switch , platform , crossing
R_01 , S06 , S24 , >> , ne26-ne26 ,  , Plat01 , Lc03
R_02 , S12 , S24 , << , ne23-ne23 ,  ,  , 
R_03 , S14 , S12 , << , ne25-ne23 , Sw11_N ,  , Lc05
R_04 , S16 , S01 , >> , ne3-ne3 ,  ,  , Lc06
R_05 , S19 , S02 , << , ne23-ne23 ,  ,  , Lc07
R_06 , S22 , S16 , >> , ne23-ne3 , Sw11_R-Sw12_R ,  , Lc09
R_07 , S24 , S16 , >> , ne26-ne3 , Sw12_N ,  , Lc04
R_08 , S25 , S12 , << , ne3-ne23 , Sw11_R-Sw12_R ,  , Lc06
