Route , Signal_start , Signal_end , Direction , netElements , switch , platform , crossing
R_01 , S02 , S71 , >> , ne991-ne991 ,  ,  , 
R_02 , S04 , S70 , << , ne377-ne290 , D14_R-D15_R ,  , 
R_03 , S14 , S125 , >> , ne104-ne297 , D04_R ,  , 
R_04 , S18 , S91 , >> , ne122-ne400 , D07_R-D16_R ,  , 
R_05 , S24 , S29 , >> , ne134-ne114 , D23_R-D24_R ,  , 
R_06 , S24 , S07 , >> , ne134-ne450 , D24_R ,  , 
R_07 , S26 , S82 , << , ne993-ne400 , Sw02_N ,  , 
R_08 , S28 , S79 , << , ne995-ne297 , Sw03_N ,  , 
R_09 , S29 , S48 , >> , ne114-ne114 ,  ,  , 
R_10 , S30 , S52 , >> , ne98-ne98 ,  ,  , 
R_11 , S31 , S58 , >> , ne100-ne100 ,  ,  , 
R_12 , S37 , S70 , << , ne292-ne290 , D14_N ,  , 
R_13 , S40 , S31 , >> , ne992-ne100 ,  ,  , 
R_14 , S47 , S66 , << , ne132-ne912 , D20_N ,  , 
R_15 , S48 , S11 , >> , ne114-ne102 ,  ,  , 
R_16 , S52 , S63 , >> , ne98-ne99 ,  ,  , Lc01
R_17 , S58 , S67 , >> , ne100-ne101 ,  ,  , Lc03
R_18 , S60 , S67 , >> , ne100-ne101 ,  ,  , Lc04
R_19 , S62 , S128 , << , ne63-ne996 , D05_N ,  , Lc01
R_20 , S63 , S86 , >> , ne99-ne61 , D05_R ,  , 
R_21 , S63 , S103 , >> , ne99-ne63 , D05_N ,  , 
R_22 , S66 , S122 , << , ne912-ne992 , D09_N ,  , Lc03
R_23 , S67 , S112 , >> , ne101-ne912 , D09_N ,  , 
R_24 , S67 , S89 , >> , ne101-ne910 , D09_R ,  , 
R_25 , S71 , S76 , >> , ne991-ne288 , D01_R ,  , 
R_26 , S71 , S94 , >> , ne991-ne290 , D01_N ,  , 
R_27 , S75 , S125 , >> , ne110-ne297 , D04_R ,  , 
R_28 , S76 , S77 , >> , ne288-ne295 , D03_N ,  , 
R_29 , S76 , S75 , >> , ne288-ne110 , D03_R ,  , 
R_30 , S77 , S125 , >> , ne295-ne297 , D04_N ,  , 
R_31 , S79 , S74 , << , ne297-ne295 , D04_N ,  , 
R_32 , S79 , S78 , << , ne297-ne384 , D04_R ,  , 
R_33 , S81 , S91 , >> , ne404-ne400 , D07_N ,  , 
R_34 , S82 , S84 , << , ne400-ne404 , D07_N ,  , 
R_35 , S82 , S101 , << , ne400-ne407 , D07_R ,  , 
R_36 , S84 , S128 , << , ne404-ne996 , D05_R-D08_N ,  , Lc01
R_37 , S85 , S91 , >> , ne123-ne400 , D07_R-D16_N ,  , 
R_38 , S86 , S81 , >> , ne61-ne404 , D08_N ,  , 
R_39 , S86 , S85 , >> , ne61-ne123 , D08_R ,  , 
R_40 , S87 , S122 , << , ne130-ne992 , D09_R-D10_N ,  , Lc03
R_41 , S88 , S29 , >> , ne135-ne114 , D23_R-D24_N ,  , 
R_42 , S88 , S07 , >> , ne135-ne450 , D24_N ,  , 
R_43 , S89 , S29 , >> , ne910-ne114 , D10_N-D23_R ,  , 
R_44 , S89 , S07 , >> , ne910-ne450 , D10_N ,  , 
R_45 , S89 , S88 , >> , ne910-ne135 , D10_R ,  , 
R_46 , S91 , S40 , >> , ne400-ne992 , Sw02_R-Sw01_R ,  , 
R_47 , S94 , S127 , >> , ne290-ne292 , D14_N ,  , 
R_48 , S101 , S100 , << , ne407-ne122 , D16_R ,  , 
R_49 , S101 , S128 , << , ne407-ne996 , D05_R-D08_R-D16_N ,  , Lc01
R_50 , S102 , S62 , << , ne65-ne63 , D18_N ,  , 
R_51 , S103 , S121 , >> , ne63-ne65 , D18_N ,  , 
R_52 , S103 , S05 , >> , ne63-ne421 , D18_R-D19_R ,  , 
R_53 , S105 , S05 , >> , ne126-ne421 , D19_N ,  , 
R_54 , S106 , S62 , << , ne421-ne63 , D18_R-D19_R ,  , 
R_55 , S106 , S19 , << , ne421-ne126 , D19_N ,  , 
R_56 , S108 , S29 , >> , ne132-ne114 , D23_N ,  , 
R_57 , S109 , S47 , << , ne114-ne132 , D23_N ,  , 
R_58 , S109 , S119 , << , ne114-ne127 , D23_R ,  , 
R_59 , S109 , S87 , << , ne114-ne130 , D23_R ,  , 
R_60 , S112 , S09 , >> , ne912-ne465 , D20_R-D21_R ,  , 
R_61 , S112 , S108 , >> , ne912-ne132 , D20_N ,  , 
R_62 , S114 , S09 , >> , ne133-ne465 , D21_N ,  , 
R_63 , S115 , S66 , << , ne465-ne912 , D20_R-D21_R ,  , 
R_64 , S115 , S21 , << , ne465-ne133 , D21_N ,  , 
R_65 , S119 , S122 , << , ne127-ne992 , D09_R-D10_R-D24_N ,  , Lc03
R_66 , S119 , S118 , << , ne127-ne134 , D24_R ,  , 
R_67 , S121 , S40 , >> , ne65-ne992 , Sw01_N ,  , 
R_68 , S122 , S102 , << , ne992-ne65 , Sw01_N ,  , 
R_69 , S122 , S82 , << , ne992-ne400 , Sw02_R-Sw01_R ,  , 
R_70 , S125 , S30 , >> , ne297-ne98 , Sw03_R-Sw04_R ,  , 
R_71 , S127 , S30 , >> , ne292-ne98 , Sw04_N ,  , 
R_72 , S128 , S37 , << , ne996-ne292 , Sw04_N ,  , 
R_73 , S128 , S79 , << , ne996-ne297 , Sw03_R-Sw04_R ,  , 
