Route , Signal_start , Signal_end , Direction , netElements , switch , platform , crossing
R_01 , S15 , S24 , >> , ne98-ne99 , - , - , Lc02
R_02 , S16 , S67 , << , ne98-ne292 , Sw04N , - , Lc02
R_03 , S16 , S43 , << , ne98-ne297 , Sw04R , - , Lc02
R_04 , S19 , S32 , >> , ne100-ne101 , - , - , Lc06
R_05 , S20 , S11 , << , ne100-ne65 , Sw01N , - , Lc06
R_06 , S20 , S56 , << , ne100-ne400 , Sw01R , - , Lc06
R_07 , S23 , S16 , << , ne63-ne98 , - , - , -
R_08 , S24 , S80 , >> , ne99-ne63 , D05N , - , -
R_09 , S24 , S52 , >> , ne99-ne404 , D05R-D08N , - , -
R_10 , S24 , S57 , >> , ne99-ne123 , D05R-D08R , - , -
R_11 , S27 , S56 , << , ne993-ne400 , - , - , -
R_12 , S28 , S04 , << , ne400-ne384 , Sw02N , - , -
R_13 , S28 , S19 , >> , ne400-ne100 , Sw02R , - , Lc05
R_14 , S31 , S20 , << , ne912-ne100 , - , - , -
R_15 , S32 , S91 , >> , ne101-ne912 , D09N , - , -
R_16 , S32 , S59 , >> , ne101-ne130 , D09R-D10N , - , -
R_17 , S32 , S60 , >> , ne101-ne135 , D09R-D10R , - , -
R_18 , S35 , S01 , >> , ne290-ne130 , - , - , -
R_19 , S39 , S43 , << , ne995-ne297 , - , - , -
R_20 , S44 , S04 , >> , ne110-ne384 , - , - , -
R_21 , S45 , S01 , >> , ne295-ne130 , - , - , -
R_22 , S46 , S63 , << , ne384-ne110 , Sw02N , - , -
R_23 , S46 , S09 , << , ne384-ne292 , Sw02R , - , -
R_24 , S47 , S40 , >> , ne295-ne297 , - , - , -
R_25 , S52 , S28 , >> , ne404-ne400 , - , - , -
R_26 , S56 , S58 , << , ne400-ne404 , D07N , - , -
R_27 , S56 , S03 , << , ne400-ne407 , D07R , - , -
R_28 , S57 , S76 , >> , ne123-ne407 , - , - , -
R_29 , S58 , S16 , << , ne404-ne98 , - , - , -
R_30 , S59 , S87 , >> , ne130-ne114 , D12T , - , -
R_31 , S59 , S06 , << , ne130-ne377 , D12S , - , -
R_32 , S60 , S99 , >> , ne135-ne127 , - , - , -
R_33 , S62 , S04 , >> , ne104-ne384 , - , - , -
R_34 , S63 , S01 , >> , ne110-ne130 , - , - , -
R_35 , S67 , S09 , << , ne292-ne292 , - , - , -
R_36 , S68 , S08 , >> , ne290-ne290 , - , - , -
R_37 , S74 , S76 , >> , ne122-ne407 , - , - , -
R_38 , S75 , S16 , << , ne123-ne98 , - , - , -
R_39 , S76 , S28 , >> , ne407-ne400 , - , - , -
R_40 , S80 , S10 , >> , ne63-ne63 , - , - , -
R_41 , S83 , S12 , << , ne126-ne126 , - , - , -
R_42 , S84 , S85 , >> , ne421-ne421 , - , - , -
R_43 , S85 , S05 , >> , ne421-ne421 , - , - , -
R_44 , S86 , S87 , >> , ne132-ne114 , - , - , -
R_45 , S87 , S08 , << , ne114-ne290 , - , - , -
R_46 , S89 , S31 , << , ne132-ne912 , - , - , -
R_47 , S90 , S89 , << , ne132-ne132 , - , - , -
R_48 , S91 , S93 , >> , ne912-ne912 , - , - , -
R_49 , S93 , S86 , >> , ne912-ne132 , D20N , - , -
R_50 , S93 , S95 , >> , ne912-ne465 , D20R , - , -
R_51 , S94 , S13 , << , ne133-ne133 , - , - , -
R_52 , S95 , S96 , >> , ne465-ne465 , - , - , -
R_53 , S96 , S07 , << , ne465-ne991 , - , - , -
R_54 , S97 , S99 , >> , ne134-ne127 , - , - , -
R_55 , S98 , S20 , << , ne135-ne100 , - , - , -
R_56 , S99 , S87 , >> , ne127-ne114 , D12S , - , -
R_57 , S99 , S06 , << , ne127-ne377 , D12T , - , -
R_58 , S40 , S02 , >> , ne297-ne65 , Sw03N , - , -
R_59 , S40 , S15 , >> , ne297-ne98 , Sw03R , - , -
R_60 , S43 , S45 , << , ne297-ne295 , D04N , - , -
R_61 , S43 , S46 , << , ne297-ne384 , D04R , - , -
R_62 , S01 , S20 , << , ne130-ne100 , - , - , -
R_63 , S02 , S19 , >> , ne65-ne100 , - , - , Lc05
R_64 , S03 , S75 , << , ne407-ne123 , D16N , - , -
R_65 , S03 , S11 , << , ne407-ne65 , D16R , - , -
R_66 , S04 , S40 , >> , ne384-ne297 , - , - , -
R_67 , S06 , S10 , >> , ne377-ne63 , D15N , - , -
R_68 , S06 , S35 , << , ne377-ne290 , D15R , - , -
R_69 , S07 , S68 , >> , ne991-ne290 , D01N , - , -
R_70 , S07 , S47 , >> , ne991-ne295 , D01R-D03N , - , -
R_71 , S07 , S44 , >> , ne991-ne110 , D01R-D03R , - , -
R_72 , S08 , S15 , >> , ne290-ne98 , D14N , - , -
R_73 , S08 , S03 , >> , ne290-ne407 , D14R , - , -
R_74 , S09 , S35 , << , ne292-ne290 , - , - , -
R_75 , S10 , S02 , >> , ne63-ne65 , D18N , - , -
R_76 , S10 , S84 , >> , ne63-ne421 , D18R , - , -
R_77 , S11 , S23 , << , ne65-ne63 , - , - , -
