Route , Signal_start , Signal_end , Direction , netElements , switch , platform , crossing
R_01 , 68N1 , 69Va , >> , ne7-ne95 , - , - , Lc01
R_02 , 68N2 , 69Va , >> , ne1-ne95 , - , - , Lc01
R_03 , 69Va , 69A , >> , ne95-ne59 , - , - , -
R_04 , 69A , 69N2 , >> , ne59-ne17 , 69W03N , Plat09 , -
R_05 , 69A , 69N3 , >> , ne59-ne77 , 69W03R , Plat13 , -
R_06 , 69P2 , 68F , << , ne17-ne9 , - , - , -
R_07 , 69B2 , 69P2 , << , ne78-ne17 , Sw06N , Plat09 , -
R_08 , 69B2 , 69P3 , << , ne78-ne77 , Sw06R-Sw07S , Plat13 , -
R_09 , 69B2 , 69P1 , << , ne78-ne21 , Sw06R-Sw07T , Plat12 , -
R_10 , 69C , 69N1 , >> , ne70-ne21 , - , Plat12 , -
R_11 , 69Vc1 , 69C , << , ne70-ne70 , - , - , -
R_12 , 69Vc , 69Vc1 , << , ne67-ne70 , - , Plat07 , -
R_13 , 70Va , 70A , >> , ne103-ne64 , - , - , -
R_14 , 70N2 , 69Vc , >> , ne23-ne67 , - , - , -
R_15 , 70N1 , 69Vc , >> , ne24-ne67 , - , - , -
R_16 , 70P1 , 72Va , << , ne24-ne44 , - , - , -
R_17 , 70P2 , 72Va , << , ne23-ne44 , - , - , -
R_18 , 70B , 70N2 , >> , ne26-ne23 , 70W02N , Plat05 , -
R_19 , 70B , 70N1 , >> , ne26-ne24 , 70W02R , Plat06 , -
R_20 , 70A , 70P1 , << , ne64-ne24 , 70W01N , Plat06 , -
R_21 , 70A , 70P2 , << , ne64-ne23 , 70W01R , Plat05 , -
R_22 , 69W04Y , 69N3 , >> , ne14-ne77 , - , Plat13 , -
R_23 , 72Va , 72A , << , ne44-ne100 , - , - , -
R_24 , 721 , S01 , >> , ne83-ne32 , - , - , -
R_25 , 723b , S01 , >> , ne41-ne32 , Sw05T , - , -
R_26 , 723b , 72B , >> , ne41-ne100 , Sw05S , - , -
R_27 , 722 , 72B , >> , ne29-ne100 , - , - , -
R_28 , S01 , 72B , >> , ne32-ne100 , - , - , -
R_29 , 69B1 , 69P3 , << , ne94-ne77 , Sw07T , Plat13 , -
R_30 , 69B1 , 69P1 , << , ne94-ne21 , Sw07S , Plat12 , -
R_31 , 72B , 70B , >> , ne100-ne26 , 71W01N , - , -
R_32 , 69P3 , 68F , << , ne77-ne9 , 69W04R , - , -
R_33 , 69P1 , 70Va , >> , ne21-ne103 , - , Plat12 , -
